library_entry_id,practice_identity,opdb_id,Venue,PM_location_id,Venue Location,Area,AreaOrder,Group,Position,Bank,Game,Variant,Manufacturer,Year,Playfield Image,Rulesheet,Tutorial 1,Tutorial 2,Tutorial 3,Tutorial 4,Gameplay 1,Gameplay 2,Gameplay 3,Gameplay 4,Competition 1,Competition 2,Competition 3,Competition 4
v--14554--G5vLR,G5vLR,G5vLR-ME049,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,47,,Star Wars,Premium,Stern,2017,https://sternpinball.com/wp-content/uploads/2018/10/StarWarsLE-Playfield.png,https://tiltforums.com/t/star-wars-stern-rulesheet/2812,https://www.youtube.com/watch?v=2jjRkzCEVto,,,,,,,,,,,
v--14554--GQKyP,GQKyP,GQKyP-Mx0O4,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,48,,James Bond 007,Pro,Stern,2022,https://sternpinball.com/wp-content/uploads/2022/09/JamesBond-LE-Playfield-knadf.jpg,https://tiltforums.com/t/james-bond-007-rulesheet/7893,https://www.youtube.com/watch?v=GnQr9qIZz_0,,,,https://www.youtube.com/watch?v=FbSbZDtegVk,,,,,,,
v--14554--GRY2O,GRY2O,GRY2O-MLWdy,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,49,,F-14 Tomcat,,Williams,1987,,,,,,,,,,,,,,
v--14554--G41Z8,G41Z8,G41Z8-MJKvP,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,50,,PIN-BOT,,Williams,1986,,,,,,,,,,,,,,
v--14554--G5Wxd,G5Wxd,G5Wxd-MLxl3,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,51,,Fish Tales,,Williams,1992,,,,,,,,,,,,,,
v--14554--G2Lkd,G2Lkd,G2Lkd-MNEdK,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,52,,Rush,Pro,Stern,2022,https://sternpinball.com/wp-content/uploads/2022/01/Rush-LE-Playfield-gadf.jpg,https://tiltforums.com/t/stern-rush-rulesheet/7409,https://www.youtube.com/watch?v=ZphTCC_rN0s,https://www.youtube.com/watch?v=CVSaXrbxtHM,https://www.youtube.com/watch?v=h139DUjCeU0,,https://www.youtube.com/watch?v=l68I6GMrIN4,,,,,,,
v--14554--GLWll,GLWll,GLWll-MXr4N,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,53,,JAWS,Pro,Stern,2024,https://sternpinball.com/wp-content/uploads/2024/01/Jaws-LE-Playfield-adfkj3r.jpg,https://tiltforums.com/t/jaws-rulesheet/8781,https://www.youtube.com/watch?v=zIWTjveC9p4,,,,https://www.youtube.com/watch?v=7fVazJdhf_8,,,,,,,
v--14554--G4llj,G4llj,G4llj-MQYb2,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,54,,Tales of the Arabian Nights,,Williams,1996,https://o.pinside.com/7/91/cf/791cf5d4f708e88307574989d06d4c6d7f470d45.jpg,https://pinball.org/rules/talesofthearabiannights.html,,,,,https://www.youtube.com/watch?v=tY2pFjj1Phg,,,,,,,
v--14554--Gr2Y2,Gr2Y2,Gr2Y2-MDxZq,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,55,,No Fear: Dangerous Sports,,Williams,1995,,,,,,,,,,,,,,
v--14554--Grx8Y,Grx8Y,Grx8Y-MKNe9,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,56,,The Getaway: High Speed II,,Williams,1992,https://o.pinside.com/6/4b/68/64b682d2839fa8b161984c0c5aee9f32831640dd.jpg,https://www.ipdb.org/rulesheets/1000/getaway.htm,,,,,https://www.youtube.com/watch?v=Dhk6rcqi128,,,,,,,
v--14554--GD7Ld,GD7Ld,GD7Ld-ME0BP,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,57,,Black Knight: Sword of Rage,Pro,Stern,2019,https://sternpinball.com/wp-content/uploads/2019/03/BlackKnight-LE-Playfield-01a.jpg,https://tiltforums.com/t/black-knight-sword-of-rage-rulesheet/5210,https://www.youtube.com/watch?v=i8CZsGEcmBA,,,,https://www.youtube.com/watch?v=musEx6lbttQ,,,,,,,
v--14554--Gj66P,Gj66P,Gj66P-M3dxn,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,58,,Avengers: Infinity Quest,Pro,Stern,2020,https://sternpinball.com/wp-content/uploads/2020/08/Avengers-LE-Playfield-lknawef.jpg,https://tiltforums.com/t/avengers-infinity-quest-rulesheet/6740,https://www.youtube.com/watch?v=2_xcLBHzaSo,,,,https://www.youtube.com/watch?v=mHw2DOdeHx8,,,,,,,
v--14554--G5bxy,G5bxy,G5bxy-ML30z,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,59,,Cactus Jack's,,Gottlieb,1991,,,,,,,,,,,,,,
v--14554--G4P9q,G4P9q,G4P9q-MLnOY,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,60,,Gladiators,,Gottlieb,1993,,,,,,,,,,,,,,
v--14554--G6lnq,G6lnq,G6lnq-Mq1kv,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,61,,Deadpool,Pro,Stern,2018,https://sternpinball.com/wp-content/uploads/2018/09/DP-LE-Playfield-01a.png,https://tiltforums.com/t/deadpool-rulesheet/4311,https://www.youtube.com/watch?v=7ZMPyTqiot4,,,,,,,,,,,
v--14554--GRVld,GRVld,GRVld-MDE3l,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,62,,Elektra,,Bally,1981,,,,,,,,,,,,,,
v--14554--GweeP,GweeP,GweeP-Ml9pZ,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,63,,Godzilla,Premium,Stern,2021,https://sternpinball.com/wp-content/uploads/2021/09/Godzilla-LE-Playfield-afasdf.jpg,https://tiltforums.com/t/stern-godzilla-rulesheet/7210,https://www.youtube.com/watch?v=roJbHZe4YfQ,,,,https://www.youtube.com/watch?v=qxv1rdFisR8,https://www.youtube.com/watch?v=9rLcMSuommU,,,,,,
v--14554--G4xXK,G4xXK,G4xXK-Mx01N,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,64,,Circus,,Gottlieb,1980,,,,,,,,,,,,,,
v--14554--GRBxQ,GRBxQ,GRBxQ-MnKX7,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,65,,Gilligan's Island,,Bally,1991,,,,,,,,,,,,,,
v--14554--GRVEJ,GRVEJ,GRVEJ-MDq1w,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,66,,Dr. Dude,,Bally,1990,,,,,,,,,,,,,,
v--14554--GrNWn,GrNWn,GrNWn-MQdqZ,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,67,,Creature from the Black Lagoon,,Bally,1992,,,,,,,,,,,,,,
